,Accuracy_BP,Accuracy_FA,Cost_BP,Cost_FA
0,0.8979,0.8799,0.3631648786331381,0.9844871521144931
1,0.9174,0.9074,0.29620745391073044,0.8515853697367084
2,0.9269,0.9221,0.2585392421920552,0.7400146726954746
3,0.9368,0.9296,0.22712129834755337,0.6377263713637231
4,0.9423,0.9316,0.2087332915703743,0.6385526721535983
5,0.9477,0.9372,0.1907549249735847,0.5787652092346611
6,0.9526,0.9419,0.17474906572898477,0.5447866034236843
7,0.9537,0.9458,0.16489419970057306,0.5181627834471236
8,0.9577,0.9479,0.15239158551821697,0.48870476502969906
9,0.9594,0.9491,0.14632186906177674,0.4387308098759393
10,0.9615,0.9511,0.13904813980041641,0.496701530834765
11,0.9626,0.9537,0.13321409051590352,0.4419581758497169
12,0.9635,0.9547,0.1304081129900702,0.42193737033192763
13,0.964,0.956,0.12472523385479603,0.40415094935970564
14,0.9646,0.957,0.1242967333216987,0.4393585490752402
15,0.9667,0.9586,0.11904724706821003,0.39624827351239117
16,0.9677,0.9585,0.11667771911205597,0.3827179130033211
17,0.9681,0.9592,0.11251621393389714,0.40221164573301604
18,0.9678,0.9596,0.11176125122747627,0.4067222955910801
19,0.9692,0.961,0.10848079093904514,0.3928456107704874
20,0.9686,0.9602,0.10814546430347548,0.355872576394216
21,0.9698,0.9623,0.10514960625904111,0.36628046252152185
22,0.9698,0.9621,0.10462304904162802,0.3678963270779243
23,0.9704,0.9632,0.10230650797356491,0.35000444367979866
24,0.9716,0.9638,0.10004324924840889,0.35172327500774025
25,0.9706,0.9632,0.10265215412778428,0.36418790241198534
26,0.9716,0.9635,0.09906889680741876,0.34412365395389266
27,0.9711,0.9654,0.09908507944284807,0.3428804205063113
28,0.9714,0.9643,0.0989892573733529,0.3230273354099999
29,0.9711,0.9672,0.09865565965903786,0.3182788732290555
30,0.9719,0.9662,0.09780962700715397,0.3508567459210422
31,0.9719,0.9657,0.09716436836380181,0.30736495292816146
32,0.9725,0.9668,0.09534387572921184,0.3239524778162147
33,0.9718,0.967,0.09646241585828101,0.33213663495768203
34,0.9717,0.9675,0.09574081998017409,0.3054743380811089
35,0.9718,0.9664,0.09531935171324357,0.3194324953551566
36,0.9713,0.9678,0.09519677219146926,0.2911228777562286
37,0.9717,0.967,0.09574605824260235,0.2922724730392618
38,0.9725,0.9678,0.09502636431805038,0.2981654619614766
39,0.9729,0.9681,0.09578797089313326,0.30668037396657766
40,0.9727,0.9682,0.09450066788531467,0.3095819397142324
41,0.9724,0.9672,0.095190707977227,0.2912789044179938
42,0.9728,0.9679,0.09395729045609773,0.3135417636287148
43,0.9738,0.9681,0.09492093024792987,0.29055731776044846
44,0.9725,0.9678,0.09543904205597721,0.2709831219698769
45,0.9727,0.9696,0.09450284143358963,0.28987582547073404
46,0.9732,0.9694,0.09464791362038848,0.32247251945469163
47,0.9727,0.9685,0.0952233893449959,0.2862499404101749
48,0.9738,0.969,0.09373648520908773,0.27880409658255173
49,0.9733,0.9691,0.0944043341926322,0.2949050691596913
